rank,company_name,website,linkedin_url,city,country,sector,founded_year,employee_range,funding_total_eur,last_round,top50_score,list_sources,source_rank_notes,marketing_stack_detected,marketing_stack_evidence_links,marketing_stack_evidence_notes,marketing_stack_confidence,ai_stack_detected,ai_stack_evidence_links,ai_stack_evidence_notes,ai_stack_confidence,other_tech_signals,proof_links,proof_notes,last_checked_at,status
1,Mistral,https://mistral.ai,https://fr.linkedin.com/company/mistralai,Paris,France,Enterprise AI platform,2023,,,,96,"Curated 2026-08-19 from official Mistral product pages and public homepage script inspection","Manual priority score based on ecosystem visibility and evidence richness; not an official national ranking","Google Tag Manager","https://mistral.ai","Public homepage HTML loads Google Tag Manager. Marketing telemetry is directly visible, but no stronger public CRM signal was found on the homepage.",moyen,"Open frontier models; AI assistants; autonomous agents; multimodal AI","https://mistral.ai/models/","Official site positions Mistral as an enterprise AI platform for assistants, autonomous agents and multimodal AI, with proprietary model families and coding, OCR, speech and agentic products.",fort,"Studio; Forge; Vibe; AI Cloud; OCR; speech and coding products","https://mistral.ai | https://mistral.ai/models/","Very strong official AI proof; public marketing stack signal remains limited to GTM on homepage.",2026-08-19,complete
2,Pennylane,https://www.pennylane.com/fr,https://fr.linkedin.com/company/pennylaneaccounting,Paris,France,Financial management and accounting SaaS,2020,,,,94,"Curated 2026-08-19 from official Pennylane AI pages, official integration pages and public homepage script inspection","Manual priority score based on product maturity, relevance for French SMBs and evidence quality; not an official ranking","HubSpot; Segment; Intercom","https://www.pennylane.com/fr","Public homepage HTML exposes HubSpot form assets, Segment write key and Intercom app configuration, which gives a strong direct signal on the live go-to-market stack.",fort,"ComptAssistant; AI OCR; semantic matching; ML bookkeeping suggestions","https://www.pennylane.com/fr/expert-comptable/ia","Pennylane's official AI page details ComptAssistant, AI-enhanced OCR, semantic transaction matching and machine-learning suggestions for accounting allocation and analytics.",fort,"All-in-one finance stack; electronic invoicing; accounting workflow automation","https://www.pennylane.com/fr | https://www.pennylane.com/fr/expert-comptable/ia","One of the cleanest rows in the file: both marketing and AI signals are directly evidenced from Pennylane-owned properties.",2026-08-19,complete
3,Pigment,https://www.gopigment.com,https://fr.linkedin.com/company/pigment,Paris,France,Business planning SaaS,2019,,,,93,"Curated 2026-08-19 from official Pigment website pages and public homepage script inspection","Manual priority score based on visibility, enterprise traction and strength of public product evidence; not an official ranking","HubSpot forms; Segment; Salesforce signal; Google Tag Manager","https://www.gopigment.com","Public homepage HTML shows HubSpot embedded form styling, Segment references, Salesforce-related assets and Google Tag Manager, indicating an active B2B demand-gen stack.",fort,"Modeler Agent; Analyst Agent; Planner Agent; agentic AI planning","https://www.gopigment.com","Official homepage explicitly markets Pigment as an AI platform for business planning and details multiple agents embedded in planning workflows.",fort,"Real-time planning; scenario modeling; MCP mention with Anthropic; governed business models","https://www.gopigment.com","Public evidence is strong on both the GTM layer and the AI planning layer.",2026-08-19,complete
4,Photoroom,https://www.photoroom.com,https://www.linkedin.com/company/photoroom,Paris,France,AI photo editing,2019,,,,92,"Curated 2026-08-19 from official Photoroom website copy and public homepage script inspection","Manual priority score based on product prominence, AI clarity and public telemetry evidence; not an official ranking","Segment; Amplitude; Google Tag Manager","https://www.photoroom.com","Public homepage HTML exposes Segment, Amplitude experimentation assets and Google Tag Manager, which strongly suggests a product-led measurement stack.",fort,"AI photo editing; listing studio; marketplace-ready image generation","https://www.photoroom.com","Official homepage describes Photoroom as an AI-powered photo editor and listing studio for e-commerce visuals, with automated image creation and marketplace formatting.",fort,"E-commerce focus; listing automation; API-led product motion","https://www.photoroom.com","Very readable row: strong public product analytics signals and very explicit AI product positioning.",2026-08-19,complete
5,Greenly,https://greenly.earth,https://www.linkedin.com/company/greenly-earth,Paris,France,Climate SaaS,2019,,,,91,"Curated 2026-08-19 from official Greenly product pages and public homepage script inspection","Manual priority score based on climate-tech relevance and evidence quality; not an official ranking","Intercom; Google Tag Manager","https://greenly.earth","Public homepage HTML exposes Intercom and Google Tag Manager. The signal is direct, though narrower than for more marketing-heavy SaaS sites.",moyen,"EcoPilot; AI-driven carbon intelligence; AI-powered quality control; AI-driven decarbonisation roadmap","https://greenly.earth/en-gb/products/carbon-footprint","Official product pages describe an AI-driven carbon platform with EcoPilot, AI-powered quality control and AI-generated recommendations for decarbonisation strategy.",fort,"Carbon accounting; supplier screening; climate reporting; auditable emissions workflows","https://greenly.earth | https://greenly.earth/en-gb/products/carbon-footprint","AI value proposition is clearly documented on Greenly-owned pages; marketing layer is visible but lighter.",2026-08-19,complete
6,Nabla,https://www.nabla.com,,Paris,France,Clinical AI,2018,,,,90,"Curated 2026-08-19 from official Nabla site and public homepage script inspection","Manual priority score based on healthtech significance and evidence quality; not an official ranking","HubSpot on Webflow forms; Google Tag Manager","https://www.nabla.com","Public homepage HTML references HubSpot-on-Webflow form assets and Google Tag Manager, which is a direct signal of the acquisition stack on the marketing site.",fort,"Ambient clinical documentation; clinical AI assistant; dictation; coding; EHR integration","https://www.nabla.com","Official homepage describes Nabla as ambient AI for clinical documentation and EHR workflows, with dictation, coding support and large-scale clinician usage.",fort,"130+ health organizations; 85,000+ clinicians; Epic and major EHR integrations","https://www.nabla.com","Excellent row for AI clarity and strong enough public marketing stack evidence.",2026-08-19,complete
7,Qonto,https://qonto.com,,Paris,France,Business finance fintech,2016,,,,89,"Curated 2026-08-19 from official Qonto AI pages and public homepage script inspection","Manual priority score based on product relevance, AI clarity and public telemetry evidence; not an official ranking","Segment; Google Tag Manager","https://qonto.com","Public homepage HTML exposes Segment and Google Tag Manager, which indicates a modern measurement and growth stack on the public product site.",fort,"Qonto AI Agents; Operator; Analyst; MCP finance actions","https://qonto.com/en/ai","Official AI pages describe built-in agents for payments, invoices, cards and financial analysis, with MCP access for external AI tools and human approval built into sensitive actions.",fort,"Invoicing; bookkeeping; spend management; finance AI with approval gates","https://qonto.com | https://qonto.com/en/ai","Very strong official AI proof paired with directly observable web analytics tooling.",2026-08-19,complete
8,Alan,https://alan.com,,Paris,France,Health insurance and care platform,2016,,,,88,"Curated 2026-08-19 from official Alan homepage and public homepage script inspection","Manual priority score based on product scale, AI health features and public telemetry evidence; not an official ranking","Segment; Customer.io; Amplitude","https://alan.com","Public homepage HTML exposes Segment, Customer.io and Amplitude keys/configuration, giving one of the clearest public signals in the file on the lifecycle and analytics stack.",fort,"Proprietary AI for healthcare; AI medical assistant; AI-powered medical chats","https://alan.com/en","Official homepage states that Alan runs proprietary AI for healthcare and an always-on AI medical assistant, with strong user satisfaction claims around medical chats.",fort,"Integrated insurance, care and prevention model; care team support at scale","https://alan.com | https://alan.com/en","One of the best complete rows because both AI capability and marketing/product analytics signals are explicit.",2026-08-19,complete
9,Dust,https://dust.tt,,Paris,France,Enterprise AI agents,2023,,,,87,"Curated 2026-08-19 from official Dust search-indexed pages and public homepage script inspection","Manual priority score based on agentic AI relevance and public evidence quality; not an official ranking","Google Tag Manager","https://dust.tt","Public homepage HTML exposes a Google Tag Manager container. No stronger public CRM or lifecycle tool was directly visible on the root page.",moyen,"Multiplayer AI; enterprise AI agents; shared context; connected tools","https://dust.tt/","Official search-indexed homepage copy positions Dust as a multiplayer AI platform for human-agent collaboration with reusable skills, shared context and connected tools.",fort,"Slack, Teams and Outlook integrations; internal workflow automation","https://dust.tt/","AI positioning is very strong; marketing stack evidence is real but limited to GTM on the public homepage.",2026-08-19,complete
10,H Company,https://www.hcompany.ai,,Paris,France,Autonomous AI agents,2024,,,,86,"Curated 2026-08-19 from official H Company pages and public homepage script inspection","Manual priority score based on frontier-agent relevance and public evidence quality; not an official ranking","Google Tag Manager","https://www.hcompany.ai","Public homepage HTML loads Google Tag Manager. That is a direct but narrow public signal on marketing instrumentation.",moyen,"Browser AI agents; multimodal models; computer-use agents; enterprise AI systems","https://www.hcompany.ai","Official site describes models, advanced agents, computer-use agents, HoloTab and a full-stack enterprise platform for action-oriented AI.",fort,"HoloTab; Holo Models API; enterprise execution platform; continuous learning narrative","https://www.hcompany.ai","Strong official AI narrative; public marketing instrumentation evidence is limited to GTM but still direct.",2026-08-19,complete
